product_id,product_name,category,supplier,unit_cost,retail_price,current_stock,reorder_point,date_first_stocked,is_discontinued,sale_id,sold_at,staff_at_time,qty,unit_price,discount,payment_type,line_revenue,line_profit,refund_amount,refund_reason
711,Card CAR-260,cards,Paperhaus,2.79,5.08,31,7,2025-11-05,0,8001,2025-06-21 10:30:00,2,2,5.08,0.0,card,10.16,4.58,,
458,Card CAR-007,cards,Paperhaus,2.6,4.73,4,12,2025-08-29,0,11097,2025-06-21 10:45:00,2,3,4.73,0.0,card,14.19,6.39,,
472,Card CAR-021,cards,Paperhaus,2.29,4.17,39,11,2025-12-18,0,13244,2025-06-21 10:45:00,2,1,4.17,0.0,card,4.17,1.88,,
70,Candle CAN-069,candles,Aurora Home,12.45,16.6,32,13,2026-02-20,0,4856,2025-06-21 11:00:00,1,3,16.6,0.0,cash,49.8,12.45,,
574,Card CAR-123,cards,Paperhaus,3.89,7.08,35,7,2025-06-23,0,6609,2025-06-21 11:00:00,1,2,7.08,0.0,card,14.16,6.38,,
517,Card CAR-066,cards,Paperhaus,3.17,5.76,29,8,2026-02-23,0,7410,2025-06-21 11:15:00,1,1,5.76,0.0,card,5.76,2.59,,
80,Candle CAN-079,candles,Aurora Home,16.84,22.45,16,7,2026-03-07,0,828,2025-06-21 11:30:00,1,1,22.45,0.0,card,22.45,5.61,,
381,Ceramic CER-130,ceramics,Kiln & Co,23.82,52.93,0,15,2025-07-30,0,17978,2025-06-21 11:30:00,1,2,52.93,0.0,card,105.86,58.22,,
688,Card CAR-237,cards,Paperhaus,2.23,4.06,37,7,2025-10-05,0,15685,2025-06-21 11:30:00,1,1,4.06,0.0,card,4.06,1.83,,
37,Candle CAN-036,candles,Aurora Home,17.48,23.31,23,7,2025-09-07,0,5529,2025-06-21 11:45:00,1,3,23.31,0.0,cash,69.93,17.49,,
771,Furnitur FUR-020,furniture,Timberworks,87.19,145.31,0,11,2026-01-16,0,18993,2025-06-21 11:45:00,1,3,145.31,0.0,card,435.93,174.36,,
214,Candle CAN-213,candles,Aurora Home,14.62,19.5,18,9,2025-10-17,0,748,2025-06-21 12:00:00,1,2,19.5,0.0,cash,39.0,9.76,,
557,Card CAR-106,cards,Paperhaus,3.34,6.07,20,15,2026-04-04,0,10021,2025-06-21 12:00:00,1,2,6.07,0.0,card,12.14,5.46,,
600,Card CAR-149,cards,Paperhaus,3.2,5.82,23,11,2026-04-27,0,16889,2025-06-21 12:00:00,1,1,5.82,0.0,card,5.82,2.62,,
625,Card CAR-174,cards,Paperhaus,2.27,4.13,26,14,2026-05-25,0,12466,2025-06-21 12:15:00,1,3,4.13,0.0,card,12.39,5.58,,
646,Card CAR-195,cards,Paperhaus,3.03,5.51,38,5,2026-04-26,0,9728,2025-06-21 12:15:00,1,1,5.51,0.0,card,5.51,2.48,,
1010,Seasona SEA-109,seasonal,Seasonal Source,15.09,23.21,16,14,2025-10-13,0,20295,2025-06-21 12:30:00,1,3,23.21,0.0,card,69.63,24.36,,
30,Candle CAN-029,candles,Aurora Home,12.57,16.76,38,12,2026-01-02,0,5027,2025-06-21 12:45:00,1,1,16.76,0.0,card,16.76,4.19,,
111,Candle CAN-110,candles,Aurora Home,17.37,23.16,20,11,2025-12-14,0,1385,2025-06-21 12:45:00,1,3,23.16,0.0,card,69.48,17.37,,
565,Card CAR-114,cards,Paperhaus,3.46,6.29,24,11,2026-03-26,0,7401,2025-06-21 12:45:00,1,3,6.29,0.0,card,18.87,8.49,,
515,Card CAR-064,cards,Paperhaus,3.97,7.22,25,9,2026-06-06,0,12750,2025-06-21 13:00:00,1,1,7.22,0.0,card,7.22,3.25,,
540,Card CAR-089,cards,Paperhaus,3.09,5.61,2,5,2025-07-11,0,7311,2025-06-21 13:00:00,1,1,5.61,0.0,cash,5.61,2.52,,
684,Card CAR-233,cards,Paperhaus,4.35,7.91,33,5,2025-08-08,0,8298,2025-06-21 13:00:00,1,2,7.91,0.0,cash,15.82,7.12,,
736,Card CAR-285,cards,Paperhaus,4.32,7.86,6,5,2026-01-27,0,10950,2025-06-21 13:15:00,1,3,7.86,0.0,card,23.58,10.62,,
502,Card CAR-051,cards,Paperhaus,4.2,7.64,7,13,2025-07-19,0,7415,2025-06-21 13:30:00,1,2,7.64,0.0,cash,15.28,6.88,,
692,Card CAR-241,cards,Paperhaus,3.86,7.02,5,13,2025-08-31,0,12318,2025-06-21 13:30:00,1,1,7.02,0.0,card,7.02,3.16,,
3,Candle CAN-002,candles,Aurora Home,17.32,23.09,1,6,2025-07-07,0,5727,2025-06-21 13:45:00,1,3,23.09,0.0,card,69.27,17.31,,
96,Candle CAN-095,candles,Aurora Home,15.29,20.38,22,8,2025-07-11,0,5068,2025-06-21 13:45:00,1,1,20.38,0.0,cash,20.38,5.09,,
432,Ceramic CER-181,ceramics,Kiln & Co,26.23,58.29,28,10,2025-10-12,0,18337,2025-06-21 13:45:00,1,2,58.29,0.0,card,116.58,64.12,,
451,Card CAR-000,cards,Paperhaus,3.06,5.56,4,12,2026-02-16,0,15062,2025-06-21 13:45:00,1,3,5.56,0.0,card,16.68,7.5,,
487,Card CAR-036,cards,Paperhaus,4.17,7.59,5,15,2026-02-03,0,10746,2025-06-21 13:45:00,1,2,7.59,0.0,card,15.18,6.84,,
33,Candle CAN-032,candles,Aurora Home,18.91,25.22,7,9,2025-12-12,0,4770,2025-06-21 14:00:00,,1,25.22,0.0,cash,25.22,6.31,,
389,Ceramic CER-138,ceramics,Kiln & Co,17.25,38.34,20,7,2026-05-08,0,18409,2025-06-21 14:30:00,,2,38.34,0.0,card,76.68,42.18,,
961,Seasona SEA-060,seasonal,Seasonal Source,14.94,22.99,31,15,2026-02-17,0,20751,2025-06-21 14:45:00,,2,22.99,0.0,card,45.98,16.1,,
747,Card CAR-296,cards,Paperhaus,4.07,7.4,6,15,2026-05-18,0,12396,2025-06-21 15:15:00,,2,7.4,0.0,cash,14.8,6.66,,
142,Candle CAN-141,candles,Aurora Home,15.02,20.03,5,7,2026-03-24,0,3549,2025-06-21 15:30:00,,3,20.03,0.0,card,60.09,15.03,,
395,Ceramic CER-144,ceramics,Kiln & Co,19.9,44.23,37,13,2026-02-12,0,17955,2025-06-21 15:30:00,,2,44.23,0.0,card,88.46,48.66,,
504,Card CAR-053,cards,Paperhaus,4.26,7.74,22,13,2025-10-14,0,12497,2025-06-21 15:30:00,,2,7.74,0.0,card,15.48,6.96,,
102,Candle CAN-101,candles,Aurora Home,13.43,17.91,6,11,2026-06-15,0,2151,2025-06-21 16:15:00,,3,17.91,0.0,card,53.73,13.44,,
350,Ceramic CER-099,ceramics,Kiln & Co,14.26,31.68,36,8,2025-11-10,0,18014,2025-06-21 17:00:00,,3,31.68,0.0,card,95.04,52.26,,
700,Card CAR-249,cards,Paperhaus,2.38,4.33,24,15,2025-09-07,0,15851,2025-06-21 17:00:00,,3,4.33,0.0,cash,12.99,5.85,,
113,Candle CAN-112,candles,Aurora Home,20.09,26.79,16,5,2025-09-26,0,4047,2025-06-21 17:30:00,,3,26.79,0.0,card,80.37,20.1,,
660,Card CAR-209,cards,Paperhaus,3.04,5.52,31,13,2025-10-24,0,14174,2025-06-21 17:45:00,,1,5.52,0.0,card,5.52,2.48,,
696,Card CAR-245,cards,Paperhaus,2.27,4.12,28,12,2025-11-07,0,15682,2025-06-21 17:45:00,,1,4.12,0.0,cash,4.12,1.85,,
684,Card CAR-233,cards,Paperhaus,4.35,7.91,33,5,2025-08-08,0,7246,2025-06-21 18:45:00,,3,7.91,0.0,cash,23.73,10.68,,
458,Card CAR-007,cards,Paperhaus,2.6,4.73,4,12,2025-08-29,0,14478,2025-06-22 08:00:00,,3,4.73,0.0,card,14.19,6.39,,
68,Candle CAN-067,candles,Aurora Home,13.71,18.28,3,14,2025-10-10,0,4448,2025-06-22 08:15:00,,2,18.28,0.0,card,36.56,9.14,,
12,Candle CAN-011,candles,Aurora Home,14.64,19.52,39,10,2026-05-08,0,3006,2025-06-22 08:30:00,,2,19.52,0.0,card,39.04,9.76,,
530,Card CAR-079,cards,Paperhaus,3.51,6.39,30,9,2026-05-21,0,8922,2025-06-22 08:30:00,,2,6.39,0.0,card,12.78,5.76,,
210,Candle CAN-209,candles,Aurora Home,12.54,16.72,13,15,2025-08-10,0,2102,2025-06-22 09:00:00,,2,16.72,0.0,cash,33.44,8.36,,
690,Card CAR-239,cards,Paperhaus,2.56,4.65,36,11,2025-10-22,0,12751,2025-06-22 09:00:00,,3,4.65,0.0,cash,13.95,6.27,,
160,Candle CAN-159,candles,Aurora Home,17.85,23.8,2,5,2026-05-20,0,1004,2025-06-22 09:15:00,,3,23.8,0.0,cash,71.4,17.85,,
86,Candle CAN-085,candles,Aurora Home,20.01,26.68,9,9,2026-03-31,0,1779,2025-06-22 09:45:00,,3,26.68,0.0,cash,80.04,20.01,,
518,Card CAR-067,cards,Paperhaus,2.95,5.36,20,10,2025-09-02,0,8935,2025-06-22 10:00:00,,1,5.36,0.0,card,5.36,2.41,,
1158,Seasona SEA-257,seasonal,Seasonal Source,13.4,20.62,19,12,2026-05-25,0,20742,2025-06-22 10:30:00,,3,20.62,0.0,card,61.86,21.66,,
466,Card CAR-015,cards,Paperhaus,3.29,5.98,23,13,2026-03-02,0,15953,2025-06-22 10:45:00,,1,5.98,0.0,card,5.98,2.69,,
605,Card CAR-154,cards,Paperhaus,4.19,7.61,36,13,2025-10-02,0,13613,2025-06-22 10:45:00,,1,7.61,0.0,cash,7.61,3.42,,
246,Candle CAN-245,candles,Aurora Home,16.11,21.48,24,8,2025-09-03,0,1796,2025-06-22 11:00:00,,1,21.48,0.0,card,21.48,5.37,,
590,Card CAR-139,cards,Paperhaus,2.92,5.31,6,7,2026-01-12,0,14774,2025-06-22 11:00:00,,1,5.31,0.0,cash,5.31,2.39,,
565,Card CAR-114,cards,Paperhaus,3.46,6.29,24,11,2026-03-26,0,9300,2025-06-22 12:00:00,,2,6.29,0.0,card,12.58,5.66,,
38,Candle CAN-037,candles,Aurora Home,16.85,22.47,0,14,2026-03-19,0,3935,2025-06-22 12:15:00,,3,22.47,0.0,card,67.41,16.86,,
192,Candle CAN-191,candles,Aurora Home,14.08,18.77,20,6,2025-09-27,0,5876,2025-06-22 12:15:00,,3,18.77,0.0,card,56.31,14.07,,
697,Card CAR-246,cards,Paperhaus,2.7,4.91,24,11,2026-03-31,0,14739,2025-06-22 12:45:00,,1,4.91,0.0,card,4.91,2.21,,
178,Candle CAN-177,candles,Aurora Home,19.66,26.22,17,12,2025-08-04,0,5771,2025-06-22 13:15:00,,1,26.22,0.0,cash,26.22,6.56,,
1068,Seasona SEA-167,seasonal,Seasonal Source,13.34,20.53,0,8,2025-11-02,0,20326,2025-06-22 13:15:00,,3,20.53,0.0,card,61.59,21.57,,
277,Ceramic CER-026,ceramics,Kiln & Co,26.21,58.25,19,15,2026-04-17,0,17673,2025-06-22 13:45:00,,2,58.25,0.0,card,116.5,64.08,,
114,Candle CAN-113,candles,Aurora Home,18.38,24.51,33,13,2025-06-21,0,3082,2025-06-22 14:15:00,,1,24.51,0.0,card,24.51,6.13,,
651,Card CAR-200,cards,Paperhaus,3.73,6.78,13,11,2026-06-16,0,12253,2025-06-22 14:15:00,,2,6.78,0.0,cash,13.56,6.1,,
473,Card CAR-022,cards,Paperhaus,2.81,5.1,4,15,2025-07-20,0,14181,2025-06-22 14:30:00,,1,5.1,0.0,card,5.1,2.29,,
497,Card CAR-046,cards,Paperhaus,3.89,7.08,4,7,2026-04-11,0,12460,2025-06-22 14:30:00,,1,7.08,0.0,cash,7.08,3.19,,
601,Card CAR-150,cards,Paperhaus,3.75,6.81,34,15,2026-02-17,0,6378,2025-06-22 15:00:00,,1,6.81,0.0,card,6.81,3.06,,
133,Candle CAN-132,candles,Aurora Home,19.0,25.34,11,13,2025-10-11,0,2766,2025-06-22 15:15:00,,2,25.34,0.0,card,50.68,12.68,,
572,Card CAR-121,cards,Paperhaus,3.6,6.55,6,11,2025-07-17,0,14200,2025-06-22 15:15:00,,3,6.55,0.0,cash,19.65,8.85,,
629,Card CAR-178,cards,Paperhaus,3.83,6.96,28,8,2026-01-12,0,6526,2025-06-22 15:15:00,,3,6.96,0.0,cash,20.88,9.39,,
490,Card CAR-039,cards,Paperhaus,3.77,6.85,40,7,2026-06-14,0,15740,2025-06-22 16:15:00,,2,6.85,0.0,card,13.7,6.16,,
538,Card CAR-087,cards,Paperhaus,3.95,7.18,35,10,2025-12-11,0,16752,2025-06-22 16:30:00,,1,7.18,0.0,cash,7.18,3.23,,
168,Candle CAN-167,candles,Aurora Home,12.68,16.91,40,8,2026-06-09,0,2738,2025-06-22 16:45:00,,1,16.91,0.0,card,16.91,4.23,,
718,Card CAR-267,cards,Paperhaus,3.15,5.72,38,7,2026-05-20,0,13517,2025-06-22 16:45:00,,1,5.72,0.0,card,5.72,2.57,,
1097,Seasona SEA-196,seasonal,Seasonal Source,15.44,23.75,39,5,2026-04-02,0,19749,2025-06-22 17:00:00,,1,23.75,0.0,card,23.75,8.31,,
521,Card CAR-070,cards,Paperhaus,2.9,5.28,7,9,2026-02-14,0,11335,2025-06-22 17:15:00,,1,5.28,0.0,cash,5.28,2.38,,
239,Candle CAN-238,candles,Aurora Home,15.95,21.26,31,6,2026-06-13,0,5949,2025-06-22 17:30:00,,3,21.26,0.0,card,63.78,15.93,,
673,Card CAR-222,cards,Paperhaus,3.38,6.14,1,13,2025-11-14,0,7680,2025-06-22 17:30:00,,3,6.14,0.0,card,18.42,8.28,,
604,Card CAR-153,cards,Paperhaus,4.22,7.67,3,13,2025-08-17,0,13830,2025-06-22 18:00:00,,3,7.67,0.0,cash,23.01,10.35,,
690,Card CAR-239,cards,Paperhaus,2.56,4.65,36,11,2025-10-22,0,9128,2025-06-22 18:00:00,,3,4.65,0.0,card,13.95,6.27,,
698,Card CAR-247,cards,Paperhaus,2.61,4.74,24,6,2026-04-16,0,10254,2025-06-23 08:15:00,,1,4.74,0.0,card,4.74,2.13,,
261,Ceramic CER-010,ceramics,Kiln & Co,19.36,43.02,21,14,2025-11-03,0,17914,2025-06-23 08:30:00,,3,43.02,0.0,card,129.06,70.98,,
624,Card CAR-173,cards,Paperhaus,2.96,5.38,12,6,2025-11-09,0,12457,2025-06-23 08:30:00,,1,5.38,0.0,card,5.38,2.42,,
169,Candle CAN-168,candles,Aurora Home,12.91,17.22,38,6,2025-11-22,0,4432,2025-06-23 08:45:00,,3,17.22,0.0,cash,51.66,12.93,,
754,Furnitur FUR-003,furniture,Timberworks,60.35,100.58,0,14,2026-06-16,0,18813,2025-06-23 09:15:00,2,1,100.58,0.0,card,100.58,40.23,,
118,Candle CAN-117,candles,Aurora Home,14.78,19.71,20,11,2026-01-16,0,3252,2025-06-23 09:30:00,2,1,19.71,0.0,cash,19.71,4.93,,
165,Candle CAN-164,candles,Aurora Home,20.67,27.56,10,9,2025-08-18,0,6085,2025-06-23 09:30:00,2,1,27.56,0.0,cash,27.56,6.89,,
536,Card CAR-085,cards,Paperhaus,4.02,7.3,39,6,2026-05-06,0,11321,2025-06-23 10:15:00,2,2,7.3,0.0,card,14.6,6.56,,
607,Card CAR-156,cards,Paperhaus,2.45,4.46,37,12,2025-10-04,0,16194,2025-06-23 10:15:00,2,1,4.46,0.0,card,4.46,2.01,,
674,Card CAR-223,cards,Paperhaus,3.99,7.25,27,7,2026-06-01,0,7282,2025-06-23 10:30:00,2,1,7.25,0.0,card,7.25,3.26,,
138,Candle CAN-137,candles,Aurora Home,18.69,24.92,28,9,2026-02-19,0,3417,2025-06-23 11:00:00,2,3,24.92,0.0,card,74.76,18.69,,
536,Card CAR-085,cards,Paperhaus,4.02,7.3,39,6,2026-05-06,0,13598,2025-06-23 11:45:00,2,2,7.3,0.0,card,14.6,6.56,,
615,Card CAR-164,cards,Paperhaus,2.83,5.15,8,15,2025-09-21,0,13028,2025-06-23 12:30:00,2,2,5.15,0.0,card,10.3,4.64,,
708,Card CAR-257,cards,Paperhaus,2.84,5.17,5,13,2026-01-05,0,13525,2025-06-23 12:45:00,2,2,5.17,0.0,cash,10.34,4.66,,
158,Candle CAN-157,candles,Aurora Home,14.27,19.03,30,5,2025-08-01,0,483,2025-06-23 13:00:00,2,2,19.03,0.0,cash,38.06,9.52,,
537,Card CAR-086,cards,Paperhaus,2.48,4.51,25,10,2025-08-09,0,7331,2025-06-23 13:00:00,2,2,4.51,0.0,cash,9.02,4.06,,
946,Seasona SEA-045,seasonal,Seasonal Source,8.47,13.03,18,5,2025-07-08,0,20253,2025-06-23 13:15:00,2,1,13.03,0.0,card,13.03,4.56,,
543,Card CAR-092,cards,Paperhaus,2.92,5.31,20,7,2026-04-30,0,17114,2025-06-23 13:30:00,2,3,5.31,0.0,cash,15.93,7.17,,
615,Card CAR-164,cards,Paperhaus,2.83,5.15,8,15,2025-09-21,0,14622,2025-06-23 14:00:00,2,3,5.15,0.0,card,15.45,6.96,,
469,Card CAR-018,cards,Paperhaus,2.9,5.28,20,15,2025-07-31,0,15155,2025-06-23 14:15:00,2,1,5.28,0.0,card,5.28,2.38,,
608,Card CAR-157,cards,Paperhaus,2.4,4.36,28,5,2026-03-09,0,8299,2025-06-23 14:15:00,2,1,4.36,0.0,cash,4.36,1.96,,
675,Card CAR-224,cards,Paperhaus,2.44,4.43,33,7,2025-08-09,0,11088,2025-06-23 14:15:00,2,2,4.43,0.0,cash,8.86,3.98,,
420,Ceramic CER-169,ceramics,Kiln & Co,24.25,53.89,28,5,2025-09-13,0,18666,2025-06-23 14:45:00,2,2,53.89,0.0,cash,107.78,59.28,,
189,Candle CAN-188,candles,Aurora Home,17.23,22.98,35,13,2026-02-18,0,5441,2025-06-23 15:00:00,2,1,22.98,0.0,card,22.98,5.75,,
591,Card CAR-140,cards,Paperhaus,4.36,7.93,20,8,2026-02-20,0,13881,2025-06-23 15:00:00,2,1,7.93,0.0,card,7.93,3.57,,
150,Candle CAN-149,candles,Aurora Home,14.46,19.28,1,11,2026-02-24,0,5527,2025-06-23 15:15:00,2,2,19.28,0.0,card,38.56,9.64,,
579,Card CAR-128,cards,Paperhaus,4.14,7.53,2,11,2025-09-19,0,17094,2025-06-23 15:15:00,2,1,7.53,0.0,cash,7.53,3.39,,
730,Card CAR-279,cards,Paperhaus,2.37,4.3,30,14,2026-04-23,0,17017,2025-06-23 15:30:00,2,2,4.3,0.0,card,8.6,3.86,,
109,Candle CAN-108,candles,Aurora Home,20.45,27.27,16,7,2025-08-19,0,2827,2025-06-23 16:15:00,2,1,27.27,0.0,cash,27.27,6.82,,
472,Card CAR-021,cards,Paperhaus,2.29,4.17,39,11,2025-12-18,0,6939,2025-06-23 16:15:00,2,1,4.17,0.0,card,4.17,1.88,,
419,Ceramic CER-168,ceramics,Kiln & Co,18.03,40.06,11,14,2025-09-12,0,18278,2025-06-23 16:30:00,2,2,40.06,0.0,cash,80.12,44.06,,
626,Card CAR-175,cards,Paperhaus,3.88,7.06,15,8,2025-06-29,0,11334,2025-06-23 16:30:00,2,1,7.06,0.0,card,7.06,3.18,,
617,Card CAR-166,cards,Paperhaus,4.38,7.97,28,11,2026-01-02,0,8257,2025-06-23 16:45:00,2,3,7.97,0.0,card,23.91,10.77,,
484,Card CAR-033,cards,Paperhaus,2.78,5.05,28,8,2025-11-01,0,16788,2025-06-23 17:30:00,,2,5.05,0.0,card,10.1,4.54,,
115,Candle CAN-114,candles,Aurora Home,18.18,24.24,12,10,2026-05-30,0,186,2025-06-23 17:45:00,,2,24.24,0.0,card,48.48,12.12,,
602,Card CAR-151,cards,Paperhaus,4.02,7.3,38,6,2025-10-25,0,10874,2025-06-23 18:15:00,,1,7.3,0.0,cash,7.3,3.28,,
127,Candle CAN-126,candles,Aurora Home,12.84,17.12,19,8,2025-10-19,0,5839,2025-06-23 18:30:00,,3,17.12,0.0,card,51.36,12.84,,
141,Candle CAN-140,candles,Aurora Home,12.7,16.93,15,9,2025-11-14,0,5178,2025-06-23 18:30:00,,2,16.93,0.0,card,33.86,8.46,,
453,Card CAR-002,cards,Paperhaus,2.99,5.43,8,12,2025-07-25,0,14143,2025-06-24 08:00:00,,2,5.43,0.0,card,10.86,4.88,,
505,Card CAR-054,cards,Paperhaus,4.17,7.58,16,8,2025-07-31,0,11988,2025-06-24 08:30:00,,1,7.58,0.0,cash,7.58,3.41,,
515,Card CAR-064,cards,Paperhaus,3.97,7.22,25,9,2026-06-06,0,12882,2025-06-24 08:30:00,,1,7.22,0.0,card,7.22,3.25,,
657,Card CAR-206,cards,Paperhaus,4.1,7.46,1,9,2025-09-03,0,16319,2025-06-24 08:45:00,,3,7.46,0.0,cash,22.38,10.08,,
669,Card CAR-218,cards,Paperhaus,3.2,5.82,39,15,2025-07-21,0,11138,2025-06-24 09:15:00,2,3,5.82,0.0,cash,17.46,7.86,,
176,Candle CAN-175,candles,Aurora Home,19.27,25.7,30,12,2026-03-23,0,3931,2025-06-24 09:30:00,2,3,25.7,0.0,card,77.1,19.29,,
238,Candle CAN-237,candles,Aurora Home,13.83,18.44,8,9,2026-03-29,0,6083,2025-06-24 10:00:00,2,2,18.44,0.0,cash,36.88,9.22,,
637,Card CAR-186,cards,Paperhaus,4.27,7.77,24,13,2026-05-30,0,7851,2025-06-24 10:15:00,2,1,7.77,0.0,card,7.77,3.5,,
172,Candle CAN-171,candles,Aurora Home,16.55,22.07,0,11,2025-12-12,0,1863,2025-06-24 10:30:00,2,1,22.07,0.0,card,22.07,5.52,,
710,Card CAR-259,cards,Paperhaus,2.57,4.68,10,7,2026-01-01,0,12182,2025-06-24 10:30:00,2,2,4.68,0.0,cash,9.36,4.22,,
505,Card CAR-054,cards,Paperhaus,4.17,7.58,16,8,2025-07-31,0,13343,2025-06-24 10:45:00,2,1,7.58,0.0,card,7.58,3.41,,
475,Card CAR-024,cards,Paperhaus,2.55,4.64,9,14,2025-07-06,0,6567,2025-06-24 11:45:00,2,2,4.64,0.0,cash,9.28,4.18,,
728,Card CAR-277,cards,Paperhaus,3.3,6.0,19,8,2026-05-11,0,17527,2025-06-24 11:45:00,2,3,6.0,0.0,card,18.0,8.1,,
206,Candle CAN-205,candles,Aurora Home,20.95,27.93,35,11,2025-08-20,0,4727,2025-06-24 12:00:00,2,3,27.93,0.0,card,83.79,20.94,,
565,Card CAR-114,cards,Paperhaus,3.46,6.29,24,11,2026-03-26,0,12533,2025-06-24 12:00:00,2,3,6.29,0.0,card,18.87,8.49,,
694,Card CAR-243,cards,Paperhaus,3.16,5.75,21,14,2025-07-29,0,13355,2025-06-24 12:00:00,2,3,5.75,0.0,card,17.25,7.77,,
184,Candle CAN-183,candles,Aurora Home,12.09,16.12,5,8,2025-09-26,0,2027,2025-06-24 12:30:00,2,1,16.12,0.0,card,16.12,4.03,,
476,Card CAR-025,cards,Paperhaus,3.69,6.71,2,7,2026-01-31,0,14273,2025-06-24 12:30:00,2,2,6.71,0.0,cash,13.42,6.04,,
1044,Seasona SEA-143,seasonal,Seasonal Source,16.58,25.51,0,5,2026-01-03,0,19581,2025-06-24 12:30:00,2,1,25.51,0.0,card,25.51,8.93,,
874,Furnitur FUR-123,furniture,Timberworks,53.58,89.3,33,11,2025-10-17,0,19062,2025-06-24 12:45:00,2,1,89.3,0.0,card,89.3,35.72,,
1091,Seasona SEA-190,seasonal,Seasonal Source,8.38,12.89,0,5,2026-05-22,0,19658,2025-06-24 13:15:00,2,2,12.89,0.0,card,25.78,9.02,,
561,Card CAR-110,cards,Paperhaus,3.27,5.94,17,13,2025-10-25,0,11227,2025-06-24 13:30:00,2,3,5.94,0.0,card,17.82,8.01,,
683,Card CAR-232,cards,Paperhaus,3.3,6.0,21,14,2026-01-29,0,9810,2025-06-24 13:45:00,2,1,6.0,0.0,card,6.0,2.7,,
677,Card CAR-226,cards,Paperhaus,3.99,7.26,25,6,2025-11-04,0,11337,2025-06-24 14:00:00,2,1,7.26,0.0,card,7.26,3.27,,
562,Card CAR-111,cards,Paperhaus,2.85,5.19,18,8,2025-11-20,0,15227,2025-06-24 15:30:00,2,3,5.19,0.0,card,15.57,7.02,,
980,Seasona SEA-079,seasonal,Seasonal Source,12.56,19.32,7,11,2026-01-21,0,19199,2025-06-24 15:30:00,2,1,19.32,0.0,card,19.32,6.76,,
624,Card CAR-173,cards,Paperhaus,2.96,5.38,12,6,2025-11-09,0,14211,2025-06-24 15:45:00,2,3,5.38,0.0,cash,16.14,7.26,,
628,Card CAR-177,cards,Paperhaus,3.51,6.39,3,8,2026-06-16,0,12224,2025-06-24 15:45:00,2,3,6.39,0.0,card,19.17,8.64,,
530,Card CAR-079,cards,Paperhaus,3.51,6.39,30,9,2026-05-21,0,14177,2025-06-24 16:00:00,2,2,6.39,0.0,cash,12.78,5.76,,
192,Candle CAN-191,candles,Aurora Home,14.08,18.77,20,6,2025-09-27,0,86,2025-06-24 16:30:00,2,2,18.77,0.0,card,37.54,9.38,,
